A Adair                          , COPART INC
Nicholas Pinchuk                 , SNAP-ON INC
Nicholas Deiuliis                , CONSOL ENERGY INC
Nicholas Akins                   , AMERICAN ELECTRIC POWER CO
Nigel Travis                     , DUNKIN' BRANDS GROUP INC
Nitin Sahney                     , OMNICARE INC
Norman Schwartz                  , BIO-RAD LABORATORIES INC
Norman Chambers                  , NCI BUILDING SYSTEMS INC
Norman Asbjornson                , AAON INC
O Hall Jr                        , REGIONS FINANCIAL CORP
O Smith                          , SONIC AUTOMOTIVE INC  -CL A
Ofer Elyakim                     , DSP GROUP INC
Oivind Lorentzen III             , SEACOR HOLDINGS INC
Oleg Khaykin                     , INTL RECTIFIER CORP
Oliver Brewer III                , CALLAWAY GOLF CO
Olivier Filliol                  , METTLER-TOLEDO INTL INC
Omar Ishrak                      , MEDTRONIC PLC
Owen Kratz                       , HELIX ENERGY SOLUTIONS GROUP
Owen Thomas                      , BOSTON PROPERTIES INC
Paal Kibsgaard                   , SCHLUMBERGER LTD
Pamela Patsley                   , MONEYGRAM INTERNATIONAL INC
Paolo Pucci                      , ARQULE INC
Paramesh Gopi PhD                , APPLIED MICRO CIRCUITS CORP
Paresh Patel                     , HCI GROUP INC
Parker Petit                     , MIMEDX GROUP INC
Patricia Woertz                  , ARCHER-DANIELS-MIDLAND CO
Patricia Vincent-Collawn         , PNM RESOURCES INC
Patricia Kampling                , ALLIANT ENERGY CORP
Patrick Lavelle                  , VOXX INTERNATIONAL CORP
Patrick McHale                   , GRACO INC
Patrick Harshman                 , HARMONIC INC
Patrick Dempsey                  , BARNES GROUP INC
Patrick Prevost                  , CABOT CORP
Patrick Burke                    , HSBC FINANCE CORP
Patrick Ramsey                   , MULTIMEDIA GAMES HOLDING CO
Patrick Hawkins                  , HAWKINS INC
Patrick Henry                    , ENTROPIC COMMUNICATIONS INC
Patrick Balthrop Sr              , LUMINEX CORP
Patrick Smith                    , TASER INTERNATIONAL INC
Patrick Decker                   , XYLEM INC
Patrick Williams                 , INNOSPEC INC
Patrizio Vinciarelli PhD         , VICOR CORP
Patti Hart                       , INTL GAME TECHNOLOGY
Paul Sarvadi                     , INSPERITY INC
Paul Saville                     , NVR INC
Paul McLaughlin                  , RUDOLPH TECHNOLOGIES INC
Paul Rooke                       , LEXMARK INTL INC  -CL A
Paul Varga                       , BROWN FORMAN CORP
Paul Diaz                        , KINDRED HEALTHCARE INC
Paul Phipps                      , ESSENDANT INC
Paul Greig                       , FIRSTMERIT CORP
Paul Carrico                     , AXIALL CORP
Paul Campanelli                  , PAR PHARMACEUTCL HLDGS -REDH
Paul Arling                      , UNIVERSAL ELECTRONICS INC
Paul Bisaro                      , ALLERGAN PLC
Paul Marciano III                , GUESS INC
Paul Dykstra                     , VIAD CORP
Paul Johnston PhD PE             , EXPONENT INC
Paul Perrault                    , BROOKLINE BANCORP INC
Paul Reilly                      , RAYMOND JAMES FINANCIAL CORP
Paul Sunu                        , FAIRPOINT COMMUNICATIONS INC
Paul Rothamel                    , EZCORP INC  -CL A
Paul Manning                     , SENSIENT TECHNOLOGIES CORP
Paul Black                       , ALLSCRIPTS HEALTHCARE SOLTNS
Paul Howes                       , NEWPARK RESOURCES
Paul Novelly II                  , FUTUREFUEL CORP
Paul Galant                      , VERIFONE SYSTEMS INC
Paul Idzik                       , E TRADE FINANCIAL CORP
Paul Boynton                     , RAYONIER ADVANCED MATERIALS
Paul Will                        , CELADON GROUP INC
Paul Meister                     , INVENTIV HEALTH INC
Pehong Chen                      , BROADVISION INC
Per-Olof Lf                      , KEMET CORP
Peter Kalan                      , CSG SYSTEMS INTL INC
Peter Delaney                    , OGE ENERGY CORP
Peter McCormick                  , MAGNETEK INC
Peter Dameris                    , ON ASSIGNMENT INC
Peter Swinburn                   , MOLSON COORS BREWING CO
Peter Ho                         , BANK OF HAWAII CORP
Peter Leparulo                   , NOVATEL WIRELESS INC
Peter Thomas                     , FERRO CORP
Peter Jakobsen                   , MEAD JOHNSON NUTRITION CO
Peter Arduini                    , INTEGRA LIFESCIENCES HLDGS
Peter Altabef                    , MICROS SYSTEMS INC
Peter Leav                       , POLYCOM INC
Peter Liguori                    , TRIBUNE MEDIA CO
Phebe Novakovic                  , GENERAL DYNAMICS CORP
Phil Rykhoek Sr                  , DENBURY RESOURCES INC
Philip Hadley                    , FACTSET RESEARCH SYSTEMS INC
Philip Mezey                     , ITRON INC
Philip Heasley                   , ACI WORLDWIDE INC
Philip Flynn                     , ASSOCIATED BANC-CORP
Philip Pead                      , PROGRESS SOFTWARE CORP
Philippe Dauman                  , VIACOM INC
Phillip Tomlinson                , TOTAL SYSTEM SERVICES INC
Phillip Norton                   , EPLUS INC
Phillips Baker Jr                , HECLA MINING CO
Phupinder Gill                   , CME GROUP INC
Pierce Norton II                 , ONE GAS INC
Pierre Brondeau                  , FMC CORP
Pierre Nanterme                  , ACCENTURE PLC
Prasad Rampalli                  , QLOGIC CORP
Quintin Kneen                    , GULFMARK OFFSHORE INC
R Johnson                        , HCA HOLDINGS INC
R Walker                         , ANADARKO PETROLEUM CORP
R Hanson                         , ION GEOPHYSICAL CORP
R Woodall                        , BILL BARRETT CORP
R Rouleau                        , TUESDAY MORNING CORP
R Clyde                          , MURPHY USA INC
Rainer Jueckstock                , FEDERAL-MOGUL HOLDINGS CORP
Raja Parvez                      , RUBICON TECHNOLOGY INC
Rajat Rai                        , AKORN INC
Rajesh Shrotriya MD              , SPECTRUM PHARMACEUTICALS INC
Rajiv De Silva                   , ENDO INTERNATIONAL PLC
Rakesh Sachdev                   , SIGMA-ALDRICH CORP
Ralph Babb Jr                    , COMERICA INC
Ralph Izzo PhD                   , PUBLIC SERVICE ENTRP GRP INC
Ralph Lauren                     , RALPH LAUREN CORP
Ralph Faison                     , PULSE ELECTRONICS CORP
Ralph Schlosstein                , EVERCORE PARTNERS INC
Ramesh Srinivasan                , BALLY TECHNOLOGIES INC
Randall Hogan III                , PENTAIR PLC
Randall Stephenson               , AT&T INC
Randall Lipps                    , OMNICELL INC
Randall Stuewe                   , DARLING INGREDIENTS INC
Randall Dearth                   , CALGON CARBON CORP
Randall Churchey CPA             , EDUCATION REALTY TRUST INC
Randall Stilley                  , PARAGON OFFSHORE PLC
Randolph Thornton Jr             , COMDISCO HOLDING CO INC
Randolph Gress                   , INNOPHOS HOLDINGS INC
Randolph Marten                  , MARTEN TRANSPORT LTD
Randy Ramlo                      , UNITED FIRE GROUP INC
Randy Potts                      , WINNEBAGO INDUSTRIES
Randy Ortiz                      , LOJACK CORP
Ray Dillon                       , DELTIC TIMBER CORP
Raymond Zinn                     , MICREL INC
Raymond McDaniel Jr              , MOODY'S CORP
Raymond Davis                    , UMPQUA HOLDINGS CORP
Raymond Quirk                    , FIDELITY NATL FINL FNF GROUP
Raymond Betler                   , WABTEC CORP
Raymond Quinlan                  , SLM CORP
Raymond Huggenberger             , INOGEN INC
Reece Kurtenbach                 , DAKTRONICS INC
Reed Hastings                    , NETFLIX INC
Rex Tillerson                    , EXXON MOBIL CORP
Richard Smucker                  , SMUCKER JM CO
Richard Evans Jr                 , CULLEN/FROST BANKERS INC
Richard Adkerson                 , FREEPORT-MCMORAN INC
Richard Robinson                 , SCHOLASTIC CORP
Richard Carrion                  , POPULAR INC
Richard Davis                    , U S BANCORP
Richard Templeton                , TEXAS INSTRUMENTS INC
Richard Fairbank                 , CAPITAL ONE FINANCIAL CORP
Richard Adams                    , UNITED BANKSHARES INC/WV
Richard Penn                     , HUTCHINSON TECHNOLOGY INC
Richard Kinder                   , KINDER MORGAN INC
Richard Moberg                   , AWARE INC
Richard Parod                    , LINDSAY CORP
Richard Boehne                   , EW SCRIPPS  -CL A
Richard Harshman                 , ALLEGHENY TECHNOLOGIES INC
Richard Montoni                  , MAXIMUS INC
Richard Dugas Jr                 , PULTEGROUP INC
Richard Giromini                 , WABASH NATIONAL CORP
Richard Wallace                  , KLA-TENCOR CORP
Richard Hamada                   , AVNET INC
Richard Kramer                   , GOODYEAR TIRE & RUBBER CO
Richard Hipple                   , MATERION CORP
Richard Spurr                    , ZIX CORP
Richard Smith                    , EQUIFAX INC
Richard Campo                    , CAMDEN PROPERTY TRUST
Richard Anderson                 , DELTA AIR LINES INC
Richard Brooks Jr                , ZUMIEZ INC
Richard Dreiling                 , DOLLAR GENERAL CORP
Richard Norwitt                  , AMPHENOL CORP
Richard Daly                     , BROADRIDGE FINANCIAL SOLUTNS
Richard Noll                     , HANESBRANDS INC
Richard Hayne                    , URBAN OUTFITTERS INC
Richard Meeusen                  , BADGER METER INC
Richard Weil JD                  , JANUS CAPITAL GROUP INC
Richard Garneau                  , RESOLUTE FOREST PRODUCTS INC
Richard Matros                   , SABRA HEALTH CARE REIT INC
Richard Bergman                  , SYNAPTICS INC
Richard McVey                    , MARKETAXESS HOLDINGS INC
Richard Gonzalez                 , ABBVIE INC
Richard Kyle                     , TIMKEN CO
Richard O'Dell                   , SAIA INC
Richard Handler                  , LEUCADIA NATIONAL CORP
Richard Fain                     , ROYAL CARIBBEAN CRUISES LTD
Richard Muncrief                 , WPX ENERGY INC
Rick Holley                      , PLUM CREEK TIMBER CO INC
Rick Wessel                      , FIRST CASH FINANCIAL SVCS
Robert Spilman Jr                , BASSETT FURNITURE INDS
Robert Wilmers                   , M & T BANK CORP
Robert Sands II                  , CONSTELLATION BRANDS  -CL A
Robert Weiss                     , COOPER COMPANIES INC
Robert Myers                     , CASEYS GENERAL STORES INC
Robert Whitman                   , FRANKLIN COVEY CO
Robert Friel                     , PERKINELMER INC
Robert Stanzione                 , ARRIS GROUP INC
Robert Mehrabian                 , TELEDYNE TECHNOLOGIES INC
Robert Johnston                  , OVERSEAS SHIPHOLDING GROUP
Robert Iger                      , DISNEY WALT CO
Robert Phillippy                 , NEWPORT CORP
Robert McCormick                 , TRUSTCO BANK CORP/NY
Robert Niblock                   , LOWE'S COMPANIES INC
Robert Parkinson Jr              , BAXTER INTERNATIONAL INC
Robert Skaggs Jr                 , NISOURCE INC
Robert Monson                    , SEITEL INC
Robert Edwards                   , SAFEWAY INC
Robert Goergen Jr                , BLYTH INC
Robert Dennis                    , GENESCO INC
Robert Schottenstein             , M/I HOMES INC
Robert Sprowls                   , AMERICAN STATES WATER CO
Robert Greenberg                 , SKECHERS U S A INC
Robert Sulentic                  , CBRE GROUP INC
Robert Pollock                   , ASSURANT INC
Robert Gasser                    , INVESTMENT TECHNOLOGY GP INC
Robert Dutkowsky                 , TECH DATA CORP
Robert Sinnott MNS PhD           , MANNATECH INC
Robert Ortberg                   , ROCKWELL COLLINS INC
Robert Sanchez                   , RYDER SYSTEM INC
Robert Eck                       , ANIXTER INTL INC
Robert Bradway                   , AMGEN INC
Robert Wagman                    , LKQ CORP
Robert Jones                     , OLD NATIONAL BANCORP
Robert Greifeld                  , NASDAQ OMX GROUP INC
Robert Davis                     , RENT-A-CENTER INC
Robert Antin                     , VCA INC
Robert Carr                      , HEARTLAND PAYMENT SYSTEMS
Robert Rowe Esq                  , NORTHWESTERN CORP
Robert Willett                   , COGNEX CORP
Robert Livingston                , DOVER CORP
Robert Patterson                 , POLYONE CORP
Robert Marcus                    , TIME WARNER CABLE INC
Robert Hugin MBA                 , CELGENE CORP
Robert Jornayvaz III             , INTREPID POTASH INC
Robert Benmosche                 , AMERICAN INTERNATIONAL GROUP
Robert Alderson                  , KIRKLAND'S INC
Robert Saltiel                   , ATWOOD OCEANICS
Robert Taubman                   , TAUBMAN CENTERS INC
Robert Eberle                    , BOTTOMLINE TECHNOLOGIES INC
Robert Yorgensen                 , STR HOLDINGS INC
Robert Cubbin                    , MEADOWBROOK INS GROUP INC
Robert LoCascio                  , LIVEPERSON INC
Robert Larney                    , CDI CORP
Robert Lynch                     , LUMBER LIQUIDATORS HLDGS INC
Robert Flexon                    , DYNEGY INC
Robert Frist Jr                  , HEALTHSTREAM INC
Robert Martin                    , THOR INDUSTRIES INC
Robert Thomson                   , NEWS CORP
Robert Apatoff                   , FTD COMPANIES INC
Robert Carrigan                  , DUN & BRADSTREET CORP
Robert Philpott                  , HARTE HANKS INC
Robert Wetherbee                 , MINERALS TECHNOLOGIES INC
Robert Lawler                    , CHESAPEAKE ENERGY CORP
Robert Workman                   , NOW INC
Robert Currey                    , CONSOLIDATED COMM HLDGS INC
Robert Abernathy                 , HALYARD HEALTH INC
Robert Pagano Jr                 , WATTS WATER TECHNOLOGIES INC
Robert Fish                      , GENESIS HEALTHCARE CORP
Robert Dickey                    , GANNETT CO INC
Robert Skaggs Jr                 , COLUMBIA PIPELINE GROUP INC
Robin Raina                      , EBIX INC
Rodney O'Neal                    , DELPHI AUTOMOTIVE PLC
Rodney Sacks HDipLaw H           , MONSTER BEVERAGE CORP
Rodney Hershberger               , PGT INC
Roger Medel MD                   , MEDNAX INC
Roger Fix                        , STANDEX INTERNATIONAL CORP
Roger Waesche Jr                 , CORP OFFICE PPTYS TR INC
Roger Jenkins                    , MURPHY OIL CORP
Roger Stone                      , KAPSTONE PAPER & PACKAGING
Roger Wood                       , DANA HOLDING CORP
Roger Krone                      , LEIDOS HOLDINGS INC
Rohit Kapoor                     , EXLSERVICE HOLDINGS INC
Roland Smith                     , OFFICE DEPOT INC
Roman Blanco                     , SANTANDER HOLDINGS USA INC
Ron Cohen MD                     , ACORDA THERAPEUTICS INC
Ronald Shaich                    , PANERA BREAD CO
Ronald Sargent                   , STAPLES INC
Ronald Duncan                    , GENERAL COMMUNICATION  -CL A
Ronald Mittelstaedt              , WASTE CONNECTIONS INC
Ronald Hermance Jr               , HUDSON CITY BANCORP INC
Ronald Havner Jr                 , PUBLIC STORAGE
Ronald Tanski                    , NATIONAL FUEL GAS CO
Ronald Nelson                    , AVIS BUDGET GROUP INC
Ronald DeFeo                     , TEREX CORP
Ronald Croatti                   , UNIFIRST CORP
Ronald Kramer                    , GRIFFON CORP
Ronald Kruszewski                , STIFEL FINANCIAL CORP
Ronald Armstrong                 , PACCAR INC
Ronald Jibson                    , QUESTAR CORP
Ronald Allen                     , AARON'S INC
Ronald LaBorde                   , AMEDISYS INC
Ronald Black PhD                 , RAMBUS INC
Ronald Kochman                   , VOLT INFO SCIENCES INC
Ronald Stewart                   , PRGX GLOBAL INC
Ronald Nersesian                 , KEYSIGHT TECHNOLOGIES INC
Rory Read                        , ADVANCED MICRO DEVICES
Roy Whitehead                    , WASHINGTON FEDERAL INC
Roy Armes                        , COOPER TIRE & RUBBER CO
Russell Goldsmith II             , CITY NATIONAL CORP
Russell Fradin                   , SUNGARD DATA SYSTEMS INC
Ryan Lance                       , CONOCOPHILLIPS
S Kannappan                      , PLANTRONICS INC
S Passman III                    , CARMIKE CINEMAS INC
Sally Smith                      , BUFFALO WILD WINGS INC
Salvatore Iannuzzi               , MONSTER WORLDWIDE INC
Salvatore Guccione               , ACETO CORP
Sam Reed                         , TREEHOUSE FOODS INC
Sammy Duncan                     , SUPERVALU INC
Samuel Allen                     , DEERE & CO
Samuel Thomas                    , CHART INDUSTRIES INC
Sandeep Mathrani                 , GENERAL GROWTH PPTYS INC
Sandra Cochran                   , CRACKER BARREL OLD CTRY STOR
Sanford Ibrahim                  , RADIAN GROUP INC
Sanjay Mehrotra                  , SANDISK CORP
Sardar Biglari                   , BIGLARI HOLDINGS INC
Scott Sheffield                  , PIONEER NATURAL RESOURCES CO
Scott Morris                     , AVISTA CORP
Scott Stowell                    , STANDARD PACIFIC CORP
Scott McGregor                   , BROADCOM CORP  -CL A
Scott Anderson                   , PATTERSON COMPANIES INC
Scott Bok JD                     , GREENHILL & CO INC
Scott Wine                       , POLARIS INDUSTRIES INC
Scott Donnelly                   , TEXTRON INC
Scott Fainor                     , NATIONAL PENN BANCSHARES INC
Scott Seymour                    , AEROJET ROCKETDYNE HOLDINGS
Scott Howe                       , ACXIOM CORP
Scott Dolan                      , CASTLE A M & CO
Scott Buckhout                   , CIRCOR INTL INC
Scott Steffey                    , CAREER EDUCATION CORP
Scott Scherr                     , ULTIMATE SOFTWARE GROUP INC
Scott Prochazka                  , CENTERPOINT ENERGY INC
Sean Healey JD                   , AFFILIATED MANAGERS GRP INC
Sean Reilly                      , LAMAR ADVERTISING CO  -CL A
Sean Downes                      , UNIVERSAL INSURANCE HLDGS
Serge Matta                      , COMSCORE INC
Shane Fleming                    , CYTEC INDUSTRIES INC
Shantanu Narayen                 , ADOBE SYSTEMS INC
Shaun McAlmont                   , LINCOLN EDUCATIONAL SERVICES
Shaygan Kheradpir PhD            , JUNIPER NETWORKS INC
Shelly Ibach                     , SELECT COMFORT CORP
Sherilyn McCoy                   , AVON PRODUCTS
Shirley Singleton                , EDGEWATER TECHNOLOGY INC
Sohaib Abbasi                    , INFORMATICA CORP
Spencer Kirk                     , EXTRA SPACE STORAGE INC
Stanley Bergman                  , SCHEIN HENRY INC
Stanley Askren                   , HNI CORP
Stanley Galanski                 , NAVIGATORS GROUP INC
Stanley Kuriyama                 , ALEXANDER & BALDWIN INC
Sten Gustafson                   , ERA GROUP INC
Stephane Gonthier LLB MBA        , 99 CENTS ONLY STORES
Stephanie Streeter               , LIBBEY INC
Stephen Sanghi                   , MICROCHIP TECHNOLOGY INC
Stephen Hagge                    , APTARGROUP INC
Stephen Chazen                   , OCCIDENTAL PETROLEUM CORP
Stephen Hemsley                  , UNITEDHEALTH GROUP INC
Stephen Lacy                     , MEREDITH CORP
Stephen Berman                   , JAKKS PACIFIC INC
Stephen Angel                    , PRAXAIR INC
Stephen Luczo                    , SEAGATE TECHNOLOGY PLC
Stephen Milligan                 , WESTERN DIGITAL CORP
Stephen Zarrilli CPA             , SAFEGUARD SCIENTIFICS INC
Stephen Holmes                   , WYNDHAM WORLDWIDE CORP
Stephen Romaine                  , TOMPKINS FINANCIAL CORP
Stephen Wynn                     , WYNN RESORTS LTD
Stephen MacAdam                  , ENPRO INDUSTRIES INC
Stephen Smith                    , EQUINIX INC
Stephen Hooley                   , DST SYSTEMS INC
Stephen Steinour                 , HUNTINGTON BANCSHARES
Stephen Smith                    , WILEY JOHN & SONS  -CL A
Stephen Schwartz                 , BROOKS AUTOMATION INC
Stephen Waldis                   , SYNCHRONOSS TECHNOLOGIES
Stephen Carley                   , RED ROBIN GOURMET BURGERS
Stephen Weisz                    , MARRIOTT VACATIONS WORLDWIDE
Stephen Kaufer                   , TRIPADVISOR INC
Stephen Rusckowski               , QUEST DIAGNOSTICS INC
Stephen Macmillan                , HOLOGIC INC
Steven Ballmer                   , MICROSOFT CORP
Steven Klosk                     , CAMBREX CORP
Steven Temares                   , BED BATH & BEYOND INC
Steven Nielsen                   , DYCOM INDUSTRIES INC
Steven Berglund                  , TRIMBLE NAVIGATION LTD
Steven Anderson                  , CRYOLIFE INC
Steven Cooper                    , TRUEBLUE INC
Steven Collis                    , AMERISOURCEBERGEN CORP
Steven Shindler                  , NII HOLDINGS INC
Steven Kriegsman                 , CYTRX CORP
Steven Voorhees                  , WESTROCK CO
Steven Hilton                    , MERITAGE HOMES CORP
Steven Demetriou                 , ALERIS CORP
Steven Roth                      , VORNADO REALTY TRUST
Steven Newman                    , TRANSOCEAN LTD
Steven Laub                      , ATMEL CORP
Steven Davis                     , BOB EVANS FARMS
Steven Miller                    , BIG 5 SPORTING GOODS CORP
Steven Tanger                    , TANGER FACTORY OUTLET CTRS
Steven Fredrickson               , PRA GROUP INC
Steven Johnston FCAS MAAA        , CINCINNATI FINANCIAL
CORP
Steven Mueller                   , SOUTHWESTERN ENERGY CO
Steven Kandarian JD              , METLIFE INC
Steven Plochocki                 , QUALITY SYSTEMS INC
Steven Rowley                    , EAGLE MATERIALS INC
Steven Spinner                   , UNITED NATURAL FOODS INC
Steven Mollenkopf                , QUALCOMM INC
Steven Rathgaber                 , CARDTRONICS INC
Steven Morgan                    , HANCOCK FABRICS INC
Steven Berman                    , DORMAN PRODUCTS INC
Steven Streit                    , GREEN DOT CORP
Steven Anenen                    , CDK GLOBAL INC
Steven Gunby JD                  , FTI CONSULTING INC
Strauss Zelnick Esq JD           , TAKE-TWO INTERACTIVE SFTWR
Stuart Miller                    , LENNAR CORP
Stuart Brightman                 , TETRA TECHNOLOGIES INC/DE
Stuart Tanz                      , RETAIL OPPORTUNITY INVTS CP
Stuart Bradie                    , KBR INC
Stuart Rose                      , REX AMERICAN RESOURCES CORP
Sudhir Singh                     , CONCUR TECHNOLOGIES INC
Susan Cameron                    , REYNOLDS AMERICAN INC
Susan Salka                      , AMN HEALTHCARE SERVICES INC
Suzanne Sitherwood               , LACLEDE GROUP INC
Sylvester Johnson Jr IV          , CARRIZO OIL & GAS INC
T Rodgers PhD                    , CYPRESS SEMICONDUCTOR CORP
T Eglin                          , LEXINGTON REALTY TRUST
T Hunt                           , VASCO DATA SEC INTL INC
Tarek Sherif                     , MEDIDATA SOLUTIONS INC
Terrance Finley                  , BOOKS-A-MILLION INC
Terry Lundgren                   , MACY'S INC
Terry Swift                      , SWIFT ENERGY CO
Terry McCallister                , WGL HOLDINGS INC
Terry Considine JD               , APARTMENT INVST & MGMT CO
Terry Bassham                    , GREAT PLAINS ENERGY INC
Terry Spencer                    , ONEOK INC
Terry Zink                       , CASCADE BANCORP
Theodore Craver Jr               , EDISON INTERNATIONAL
Theodore Torbeck                 , CINCINNATI BELL INC
Thinh Tran                       , SIGMA DESIGNS INC
Thomas Gallagher                 , GENUINE PARTS CO
Thomas Falk                      , KIMBERLY-CLARK CORP
Thomas Gottwald                  , NEWMARKET CORP
Thomas Wilson II                 , ALLSTATE CORP
Thomas Skains                    , PIEDMONT NATURAL GAS CO
Thomas Faust Jr CFA              , EATON VANCE CORP
Thomas Farrell II                , DOMINION RESOURCES INC
Thomas Stanton                   , ADTRAN INC
Thomas Watjen                    , UNUM GROUP
Thomas Gendron                   , WOODWARD INC
Thomas Malkoski                  , PENFORD CORP
Thomas Toomey                    , UDR INC
Thomas Ryan                      , SERVICE CORP INTERNATIONAL
Thomas Fanning                   , SOUTHERN CO
Thomas Jorden                    , CIMAREX ENERGY CO
Thomas Quinlan III               , DONNELLEY R R & SONS CO
Thomas Hook                      , GREATBATCH INC
Thomas Monahan III               , CEB INC
Thomas Chubb III                 , OXFORD INDUSTRIES INC
Thomas Burke                     , MODINE MANUFACTURING CO
Thomas Georgens                  , NETAPP INC
Thomas Patterson                 , BASIC ENERGY SERVICES INC
Thomas Waechter                  , VIAVI SOLUTIONS INC
Thomas Felmer                    , BRADY CORP
Thomas Lynch                     , TE CONNECTIVITY LTD
Thomas Johnson                   , AEROPOSTALE INC
Thomas Folliard                  , CARMAX INC
Thomas Price                     , FIRST COMMONWLTH FINL CP/PA
Thomas Prescott                  , ALIGN TECHNOLOGY INC
Thomas Carson                    , ROVI CORP
Thomas Motamed                   , CNA FINANCIAL CORP
Thomas Millner                   , CABELAS INC
Thomas Peterffy                  , INTERACTIVE BROKERS GROUP
Thomas Burke                     , ROWAN COS PLC
Thomas Richards                  , CDW CORP
Thomas Schievelbein              , BRINKS CO
Thomas Casey                     , TRONOX LTD
Thomas May                       , EVERSOURCE ENERGY
Thomas Shockley III              , EL PASO ELECTRIC CO
Thomas Ray JD                    , CORESITE REALTY CORP
Thomas Carlile                   , BOISE CASCADE CO
Thomas Edman                     , TTM TECHNOLOGIES INC
Thomas Kennedy PhD               , RAYTHEON CO
Thomas Lacey                     , TESSERA TECHNOLOGIES INC
Thomas McInerney                 , GENWORTH FINANCIAL INC
Thomas Giacomini                 , JOHN BEAN TECHNOLOGIES
Thomas Ferguson                  , AZZ INC
Thomas Stabley                   , REX ENERGY CORP
Thomas Leverton                  , CEC ENTERTAINMENT INC
Thomas Sanzone                   , BLACK KNIGHT FINANCIAL SVCS
Thomas DeRosa                    , HEALTH CARE REIT INC
Thomas Might                     , CABLE ONE INC
Timothy Wallace                  , TRINITY INDUSTRIES
Timothy Ring                     , BARD CR INC
Timothy Cook                     , APPLE INC
Timothy Naughton                 , AVALONBAY COMMUNITIES INC
Timothy Mayopoulos               , FANNIE MAE
Timothy Conver                   , AEROVIRONMENT INC
Timothy Armstrong                , AOL INC
Timothy Stultz PhD               , NANOMETRICS INC
Timothy Warner                   , CINEMARK HOLDINGS INC
Timothy Biltz                    , LUMOS NETWORKS CORP
Timothy Leuliette                , VISTEON CORP
Todd Teske                       , BRIGGS & STRATTON
Todd Hornbeck                    , HORNBECK OFFSHORE SVCS INC
Todd Bluedorn                    , LENNOX INTERNATIONAL INC
Todd Brice                       , S & T BANCORP INC
Todd Becker                      , GREEN PLAINS INC
Todd Stevens                     , CALIFORNIA RESOURCES CORP
Tom Olofson                      , EPIQ SYSTEMS INC
Tony Jensen                      , ROYAL GOLD INC
Tracy Wolstencroft               , HEIDRICK & STRUGGLES INTL
Trevor Fetter                    , TENET HEALTHCARE CORP
Troy Clarke                      , NAVISTAR INTERNATIONAL CORP
Tunc Doluca                      , MAXIM INTEGRATED PRODUCTS
Ursula Burns                     , XEROX CORP
Valentin Gapontsev PhD           , IPG PHOTONICS CORP
Vernon Nagel                     , ACUITY BRANDS INC
Victor Richey Jr                 , ESCO TECHNOLOGIES INC
Victor Clemons Sr                , CORVEL CORP
Vikram Verma                     , 8X8 INC
Vincent Forlenza                 , BECTON DICKINSON & CO
Vincent Palagiano                , DIME COMMUNITY BANCSHARES
Vincent Roche                    , ANALOG DEVICES
Vincent Kelly                    , SPOK HOLDINGS INC
Vincent Delie Jr                 , F N B CORP/FL
Vincent Volpe Jr                 , DRESSER-RAND GROUP INC
Virginia Rometty                 , INTL BUSINESS MACHINES CORP
Vivek Jain                       , ICU MEDICAL INC
W McMullen                       , KROGER CO
W Jelinek                        , COSTCO WHOLESALE CORP
W McNerney Jr                    , BOEING CO
W Walter                         , HOST HOTELS & RESORTS INC
W Will                           , CF INDUSTRIES HOLDINGS INC
W Moreland                       , CROWN CASTLE INTL CORP
W Vernon                         , KRAFT FOODS GROUP INC
Walden Rhines                    , MENTOR GRAPHICS CORP
Wallace Boston Jr EdD            , AMERICAN PUBLIC EDUCATION
Walter Robb III                  , WHOLE FOODS MARKET INC
Walter Bettinger II              , SCHWAB CHARLES CORP
Walter Rosebrough Jr             , STERIS CORP
Walter Turner                    , KOPPERS HOLDINGS INC
Walter Wheeler                   , GEOSPACE TECHNOLOGIES CORP
Walter Herlihy PhD               , REPLIGEN CORP
Ward Klein                       , EDGEWELL PERSONAL CARE CO
Ward Timken Jr                   , TIMKENSTEEL CORP
Warner Baxter CPA                , AMEREN CORP
Warren Buffett                   , BERKSHIRE HATHAWAY
Warren Rustand                   , PROVIDENCE SERVICE CORP
Wayne Smith                      , COMMUNITY HEALTH SYSTEMS INC
Wayne Taylor                     , TEXAS ROADHOUSE INC
Wendell Weeks                    , CORNING INC
Wendell Blonigan                 , INTEVAC INC
Wendy Simpson                    , LTC PROPERTIES INC
Wesley Bush                      , NORTHROP GRUMMAN CORP
Weston Hicks CFA                 , ALLEGHANY CORP
Willard Oberton                  , FASTENAL CO
William Dillard II               , DILLARDS INC  -CL A
William Ruprecht                 , SOTHEBY'S
William Cooper                   , TCF FINANCIAL CORP
William Berkley                  , BERKLEY W R CORP
William Reuter                   , SUSQUEHANNA BANCSHARES INC
William Cook                     , DONALDSON CO INC
William Sullivan                 , AGILENT TECHNOLOGIES INC
William Carpenter III            , LIFEPOINT HEALTH INC
William Ford Jr                  , FORD MOTOR CO
William Demchak                  , PNC FINANCIAL SVCS GROUP INC
William Boyle MBA                , CUBIC CORP
William Noglows                  , CABOT MICROELECTRONICS CORP
William Crenshaw                 , PUBLIX SUPER MARKETS INC
William Stone                    , SS&C TECHNOLOGIES HLDGS INC
William Rhodes III               , AUTOZONE INC
William Nuti                     , NCR CORP
William Lambert                  , MSA SAFETY INC
William Rogers Jr                , SUNTRUST BANKS INC
